pc,code,ProjectNumber,ProjectLeader,plna1,Division,Participating,ProjectTitle,Sponsor,StartingDate,FinishDate,Extension,Cost,Status,Expertise_1,Expertise_2,Expertise_3,Expertise_4,Expertise_5,Expertise_6,Expertise_7,Expertise_8,Expertise_9,Expertise_10,,,,,,,,
CNP,1,2500,RV,R. Vijay,DRC,LWM,"Design Of Decentralized Phytorid Based Sewage Treatment Plant, Composting Unit And Ground Water Softening Cum Disinfection Unit At Iica, Manesar (part A) Execution Of Sewage Treatment With Phytorid Technology At Iica, Manesar (part B)","Indian Institute Of Corporate Affairs (iica), Manesar, Gurugram",43586,44317,44926,2 70736,ONG,Environmental Engineering,Water Treatment Technology,Wastewater Treatment Technology,Phytorid Technology,Composting Technology,Groundwater Treatment Technology,Disinfection Technology,Civil Engineering,Project Management,Sustainable Development,,,,,,,,
CNP,2,2501,SB,S. Basha,HZC,EM,Action Plan For Rejuvenation Of Telangana Rivers As Per Hon'ble Ngt Directives,"Municipal Administration And Urban Development Department, Hyderabad",43439,44165,44561,5 45,ONG,Environmental Science,Water Management,Hydrology,Ecology,Geology,Civil Engineering,Agricultural Science,Environmental Law,Public Policy,Stakeholder Engagement And Communication,,,,,,,,
CNP,1,2502,GRP,G. R. Pophali,WWT,ESDMO,"Feasibility Studies For Implementation Of A Common Effluent Treatment Plant (cetp) At Madras Export Processing Zone (mepz), Special Economic Zone (sez), Chennai","Madras Export Processing Zone (mepz), Special Economic Zone (sez), Chennai",43684,44439,45107,2 5,ONG,Environmental Engineering,Chemical Engineering,Industrial Engineering,Project Management,Water Treatment Technology,Waste Management,Economic Analysis,Legal And Regulatory Compliance,Stakeholder Engagement And Communication,Risk Assessment And Management.,,,,,,,,
CNP,7,2503,"PSR, AM, ADB","P. S. Rao, A. Middey, A. D. Bhanarkar",APC,EE,Probing Studies For Characterization Of Flue Gas Emission And Abatement Measures For Sulphur-di-oxide At One Unit Of M/s. Hindalco Renusagar Captive Thermal Power Station,"Hindalco Industries Ltd., Renusagar (u.p.)",43617,44347,45107,3 5,ONG,Flue Gas Emissions,Sulphur-di-oxide So2 Abatement Measures,Thermal Power Generation,Environmental Regulations And Compliance,Chemical Engineering,Pollution Control Technologies,Energy Efficiency,Combustion Processes,Analytical Chemistry,Industrial Safety And Risk Management.,,,,,,,,
CNP,2,2504,RV,R. Vijay,MZC,ESDMO,"Performance Evaluation Of Water Treatment Plant And Supply Network, Kannad Municipal Council","Kannad Municipal Council, Aurangabad",43678,44043,44347,5,ONG,Water Treatment Processes And Technologies,Water Quality Monitoring And Analysis,Water Supply Network Design And Operation,Water Distribution System Maintenance And Repair,Water Conservation And Efficiency Measures,Environmental Regulations And Compliance,Project Management And Budgeting,Data Analysis And Interpretation,Stakeholder Engagement And Communication,Risk Assessment And Management.,,,,,,,,
CNP,7,2505,PRP,P. R. Pujari,WTMD,EM,Providing Services For Carrying Out Hydrogeological And Fly Ash Leachability Study,Adani Power Maharashtra Ltd. Gondia,43709,44834,45016,3 5,ONG,Hydrogeology,Geology,Environmental Science,Chemistry,Water Resource Management,Soil Science,Mining Engineering,Civil Engineering,Environmental Engineering,Waste Management,,,,,,,,
CNP,7,2506,SK,S. Kumar,TDC,SHWM,Evaluation Of Coal Mixed Biocompost As A Co-fuel In Boiler And Brick Kiln,"Jubilant Life Sciences Ltd., Pune",43739,44104,44926,8,ONG,Coal Mining And Its Impact On The Environment,Biocomposting And Its Benefits,Co-firing Technologies And Their Efficiency,Boiler And Brick Kiln Operations And Maintenance,Fuel Blending And Its Impact On Combustion,Emissions Monitoring And Control,Waste Management And Disposal,Soil Sampling And Analysis,Agricultural Practices And Crop Residue Management,Waste-to-energy Technologies,,,,,,,,
CNP,4,2507,LS,L. Singh,EBGD,Nil,Development Of Green Belt For Khaperkheda Thermal Power Premises Using Eco-rejuvenation Technology,"Maharashtara State Power Generation Co. Ltd (mspgcl), Khaperkheda",43719,44814,45382,6 8,ONG,Environmental Science,Sustainable Development,Landscape Architecture,Soil Science,Plant Biology,Water Resource Management,Renewable Energy,Waste Management,Climate Change Adaptation And Mitigation,Environmental Policy And Planning,,,,,,,,
CNP,7,2508,"RK, PRT","R. Karthik, P. R. Thawale",EBGD,TDW,"Treatment And Disposal Of Effluent From M/s. Neosym Industry Ltd., Using High Rate Transpiration System","Neosym Industry Ltd., Pune",43700,44065,44561,1 83,ONG,Industrial Wastewater Treatment,Effluent Treatment Technologies,High Rate Transpiration System,Environmental Engineering,Chemical Engineering,Water Resource Management,Pollution Control,Sustainable Development,Waste Management,Environmental Regulations And Compliance.,,,,,,,,
CNP,3,2509,RB,R. Biniwale,CTMD,EE,Assessment For Differential Impacts On Environmental Parameters Due To Excess Crude Processing In Barauni Refinery,"Indian Oil Corporation Ltd. (iocl), Barauni (bihar)",43721,44452,45016,80.75,ONG,Environmental Science,Chemical Engineering,Petroleum Engineering,Air Pollution Control,Water Pollution Control,Soil Science,Environmental Impact Assessment,Environmental Monitoring And Analysis,Industrial Ecology,Sustainable Development,,,,,,,,
CNP,1,2510,"VVK, AB, GSK","V. V. Khaparde, A. Bhanarkar, G. S. Kanade","APC, AID",EM,Demonstration And Establishment Of Analytical Technique For Dioxins & Furans In Gaseous Products Emanating From Plasma Pyrolysis Of Radioactive Rubber And Plastic Waste At Barc,"Bhabha Atomic Research Centre (barc), Mumbai",43703,43887,44592,5,ONG,Analytical Chemistry,Environmental Science,Radiochemistry,Waste Management,Plasma Pyrolysis,Polymer Chemistry,Radiation Safety,Chemical Engineering,Quality Control,Statistical Analysis,,,,,,,,
GAP,1,2511,STT,S. T. Thul,EBGD,EB,Genetic And Chemical Analysis To Identify Abiotic Stress Tolerant Bamboo Species Towards Climate Change Mitigation,"Dst-science And Engineering Research Board (serb), New Delhi",43726,44456,44637,2 095,ONG,Genetics,Biochemistry,Plant Physiology,Environmental Science,Botany,Ecology,Agronomy,Biotechnology,Data Analysis,Climate Change Adaptation And Mitigation,,,,,,,,
CNP,2,2512,RB,R. Biniwale,CTMD,Nil,Dpr Preparation For Implementation Of Stp (200kld) Using Phytorid Technology,"Genral Hospital, Gadchiroli",43698,44064,44926,5,ONG,Wastewater Treatment,Phytorid Technology,Environmental Engineering,Water Quality Management,Project Management,Civil Engineering,Chemical Engineering,Sustainable Development,Regulatory Compliance,Cost Estimation And Budgeting.,,,,,,,,
CNP,2,2513,"SKG, RM","S. K. Goyal, R. Misra",DZC,EM,Surveillance Of Microbial Quality Of Drinking Water Supply Of Delhi Jal Board (under Summer Action Plan-2018),"Delhi Jal Board (djb), Delhi",43282,44196,44926,26,ONG,Microbiology,Water Quality Analysis,Environmental Science,Public Health,Epidemiology,Water Treatment Processes,Water Distribution Systems,Statistical Analysis,Risk Assessment,Regulatory Compliance And Standards.,,,,,,,,
TSP,7,2514,"SP, RB","S. Pal, R. Biswas",WWT,Wastewater,Comprehensive Professional Training Programs (cptp) Technical Evaluation And Analytical Services For Wastewater Management Systems,Various Clients,43711,44806,,25,ONG,Wastewater Treatment Processes And Technologies,Water Quality Monitoring And Analysis,Environmental Regulations And Compliance,Chemical And Biological Treatment Methods,Process Control And Optimization,Instrumentation And Automation Systems,Data Analysis And Interpretation,Risk Assessment And Management,Project Management And Planning,Technical Report Writing And Communication Skills.,,,,,,,,
CNP,2,2515,SK,S. Kumar,TDC,SHWM,Environmental Audit Of Existing Common Biomedical Waste Treatment Facilities Of West Bengal,"West Bengal Pollution Control Board, Kolkata",43739,44104,44926,22,ONG,Environmental Science,Biomedical Waste Management,Waste Treatment Technologies,Pollution Control,Hazardous Waste Management,Environmental Law And Regulations,Health And Safety Standards,Risk Assessment And Management,Data Analysis And Interpretation,Report Writing And Presentation Skills,,,,,,,,
CNP,1,2596,"HB, SK","H. Bherwani, S. Kaur","DRC, MZC",EDCA,Estimation And Environmental Damage Cost Assessment Of Volatile Organic Compounds (vocs) Emissions From Specific Industries At Mahul And Ambapada Region Of Mumbai,"Central Pollution Control Board (cpcb), Delhi",43922,44286,,1 5,ONG,Environmental Science,Chemical Engineering,Industrial Processes And Emissions,Air Pollution Control,Pubic Health And Safety,Statistical Analysis And Modeling,Cost-benefit Analysis,Risk Assessment,Environmental Law And Policy,Geographic Information Systems And Mapping.,,,,,,,,
CNP,3,2517,SR,S. Rayalu,EMD,Nil,"Feasibility Study On Extraction Of Cenosphere From Flyash (ntpc, Talcher)","Ntpc Ltd, Angul (odisha)",43739,44104,44286,32,ONG,Fly Ash Composition And Properties,Cenosphere Properties And Characteristics,Extraction Techniques For Cenosphere From Fly Ash,Chemical And Physical Analysis Of Cenosphere,Market Analysis For Cenosphere,Environmental Impact Assessment Of Cenosphere Extraction,Cost Analysis For Cenosphere Extraction,Regulatory Compliance For Cenosphere Extraction,Project Management For Feasibility Study,Risk Assessment And Mitigation Strategies For Cenosphere Extraction Project.,,,,,,,,
CNP,4,2518,LS,L. Singh,EBGD,Nil,Development Of Bamboo Plantation Through Eco Rejuvenation Technology For Dust Suppression Around Koradi Thermal Power Plant Area Of Farm No.-3,"Maharashtara State Power Generation Co. Ltd (mspgcl),, Koradi",43725,44820,45185,31.9,ONG,Bamboo Cultivation And Management,Eco-rejuvenation Technology,Dust Suppression Techniques,Soil Science And Soil Management,Environmental Impact Assessment,Plant Physiology And Growth,Water Management And Irrigation,Pest And Disease Management,Sustainable Agriculture Practices,Project Management And Implementation.,,,,,,,,
CNP,4,2519,LS,L. Singh,EBGD,Nil,Development Of Bamboo Plantation Through Eco Rejuvenation Technology For Dust Suppression Around Koradi Thermal Power Plant Area Of Farm No.-2,"Maharashtara State Power Generation Co. Ltd (mspgcl), Koradi",43725,44820,45185,31.9,ONG,Bamboo Cultivation And Management,Eco-rejuvenation Technology,Dust Suppression Techniques,Soil Science And Soil Management,Environmental Impact Assessment,Plant Physiology And Growth,Water Management And Irrigation,Pest And Disease Management,Sustainable Agriculture Practices,Project Management And Implementation.,,,,,,,,
CNP,4,2520,LS,L. Singh,EBGD,Nil,Development Of Bamboo Plantation Through Eco Rejuvenation Technology For Dust Suppression Around Koradi Thermal Power Plant Area Of Farm No.-4,"Maharashtara State Power Generation Co. Ltd (mspgcl), Koradi",43725,44820,45185,31.9,ONG,Bamboo Cultivation And Management,Eco-rejuvenation Technology,Dust Suppression Techniques,Soil Science And Soil Management,Environmental Impact Assessment,Plant Physiology And Growth,Water Management And Irrigation,Pest And Disease Management,Sustainable Agriculture Practices,Project Management And Implementation.,,,,,,,,
CNP,4,2521,LS,L. Singh,EBGD,Nil,Development Of Bamboo Plantation Through Eco Rejuvenation Technology For Dust Suppression Around Koradi Thermal Power Plant Area Of Farm No.-5,"Maharashtara State Power Generation Co. Ltd (mspgcl), Koradi",43725,44820,45185,31.9,ONG,Bamboo Cultivation And Management,Eco-rejuvenation Technology,Dust Suppression Techniques,Soil Science And Soil Management,Environmental Impact Assessment,Plant Physiology And Growth,Water Management And Irrigation,Pest And Disease Management,Sustainable Agriculture Practices,Project Management And Implementation.,,,,,,,,
CNP,2,2474,"HB, AK","H. Bherwani, A. Kapley",DRC,Nil,Preparation Of Dpr For Conservation And Rejuvenation Of Pond 1 And Pond 2,"Niwari Nagar Panchayat, Niwari, Ghaziabad",43586,44286,44834,45,ONG,Water Resource Management,Environmental Science,Hydrology,Civil Engineering,Landscape Architecture,Soil Science,Aquatic Ecology,Community Development,Project Management,Financial Analysis And Budgeting,,,,,,,,
CNP,2,2523,GRK,G. R.Kale,SHWM,SHWM,Characterization Of Bio-mining Samples In Urali Devechi-pune,"Pune Municipal Corporation, Pune",43749,45575,,75,ONG,Bio-mining Techniques And Processes,Mineralogy And Geochemistry Of Bio-mining Samples,Microbial Ecology And Diversity In Bio-mining Systems,"Analytical Techniques For Characterizing Bio-mining Samples E.g. Xrd,sem,tem,icp-ms",Environmental Monitoring And Impact Assessment Of Bio-mining Operations,Bioreactor Design And Optimization For Bio-mining,Biogeochemical Cycling In Bio-mining Systems,Microbial Metabolism And Biochemistry In Bio-mining,Bioremediation Strategies For Bio-mining Waste Streams,Sustainable Development And Social Responsibility In Bio-mining Operations.,,,,,,,,
CNP,2,2524,"SB, AK","S. Basha, A. Kapley","HZC, DRC",EM,"Study Of Lake Of Bangalore City For Protection, Restroration And Rejuvenation As Per Directives Of Hon'ble High Court Of Karnataka.","Bruhat Bengaluru Mahanagara Palike (bbmp), Bengaluru",43739,44834,45107,345,ONG,Environmental Science,Hydrology,Limnology,Water Quality Management,Ecology,Geology,Urban Planning,Civil Engineering,Public Policy,Law And Regulations Related To Water Bodies.,,,,,,,,
CNP,1,2525,PL,P. Labhasetwar,WTMD,Nil,Preparation Of Water Quality Trend Report Under National Water Quality Monitoring Programme(nwmp),"Central Pollution Control Board (cpcb), Delhi",43739,44104,44651,788,ONG,Water Quality Monitoring Techniques And Methods,Water Quality Assessment,Water Quality Testing And Analysis,Data Analysis And Interpretation Skills,Statistical Analysis,Geographic Information Systems,Report Writing And Presentation Skills,Nil,Nil,Nil,,,,,,,,
GAP,5,2526,SD,S.Dhyani,WTMD,EM,Plausible Alternative Futures Of Island Mangroves In The Asiapacific: Scenario-based Analysis And Quantification Mangrove Ecosystem Services In Coastal Hazard Mitigation And Climate Change Adaptation.,Asia-pacific Network For Global Change Research (apngcr) Japan,43709,44377,45046,11.24,ONG,Mangrove Ecology And Biology,Coastal Hazard Mitigation,Climate Change Adaptation And Mitigation,Scenario-based Analysis,Quantitative Analysis,Geographic Information Systems,Environmental Policy And Governance,Coastal Management,Ecosystem Services Valuation,Stakeholder Engagement And Participation,,,,,,,,
CNP,3,2527,PM,P. Manekar,WWT,Nil,"Assessment Of Etp For Enhanced Operational Flexibility & Higher Utilization Of Treated Waste Water At Gail , Pata","Gail,pata(u.p)",43800,44895,45107,58,ONG,Environmental Engineering,Water Treatment Processes,Industrial Wastewater Treatment,Process Engineering,Chemical Engineering,Energy Management,Sustainable Development,Project Management,Risk Assessment,Regulatory Compliance,,,,,,,,
CNP,4,2528,LS,L. Singh,EBGD,Nil,"Development Of Green Belt-bamboo Diversity For Using Eco-rejuvenation At Koradi Premises Mspgcl, Koradi","Maharashtra State Power Generation Co. Ltd. (mspgcl), Koradi, Nagpur",43756,45583,,9 7,ONG,Botany,Environmental Science And Sustainability,Forestry And Agroforestry,Soil Science And Land Management,Horticulture And Landscaping,Ecology And Biodiversity Conservation,Climate Change Adaptation And Mitigation,Renewable Energy And Green Technology,Plant Biology,Project Management And Implementation.,,,,,,,,
CNP,7,2529,"LD, PL","L. Deshpande, P. Labhasetwar",WTMD,EM,Evaluation Of Water Quality Sources For Their Suitability For Drinking Purposes And Delineation Of Treatment Options,Water Supply Deptts. Educational Institutes And Others,43770,44865,,38,ONG,Chemistry,Microbiology,Environmental Science,Water Treatment,Hydrology,Geology,Engineering,Data Analysis,Public Health,Nil,,,,,,,,
CNP,3,2530,PN,P. V. Nidheesh,EISD,Nil,1) Auditing/certification Of Opencast Progressive Mine Closure Activites As Per Approved Mine Closure Plan For 34 Oc Mines Of Wcl 2)auditing/certification Of Final Mine Closure Plan For 04 Ug.,"Western Coalifields Ltd.(wcl), Nagpur",43770,44865,45016,100.56,ONG,Mining Engineering,Environmental Science,Geology,Risk Management,Public Health And Safety,Legal Compliance,Project Management,Financial Analysis,Stakeholder Engagement,Regulatory Compliance,,,,,,,,
CNP,7,2531,"RK, PRT","R. Karthik, P. R. Thawale",EBGD,Nil,Monitoring And Assessment Of High Rate Transpiration System (hrts) Implemented For Land Treatment And Disposal Of Effluent From Kspg Automotive Pvt. Ltd,"Kspg Automotive Pvt. Ltd, Ahmednagar",43763,44128,,44,ONG,Environmental Engineering,Water Treatment And Management,Soil Science,Hydrology,Chemical Engineering,Microbiology,Industrial Wastewater Treatment,Environmental Monitoring And Assessment,Sustainable Development,Environmental Policy And Regulations.,,,,,,,,
